Welcome to the profile statistics browser.
profiling/profiling.data% profiling/profiling.data% Mon Jan  7 17:29:53 2019    profiling/profiling.data

         430080 function calls (421447 primitive calls) in 115.482 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      115    0.000    0.000    0.001    0.000 /usr/lib/python3.6/posixpath.py:73(join)
      491    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       50    0.000    0.000    0.003    0.000 /usr/lib/python3.6/site-packages/pkg_resources/__init__.py:2435(from_location)
       59    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_compile.py:378(<listcomp>)
     2238    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/packaging/version.py:54(<lambda>)
      993    0.000    0.000    0.001    0.000 /usr/lib/python3.6/sre_compile.py:102(fixup)
       26    0.000    0.000    0.004    0.000 /usr/lib/python3.6/traceback.py:313(extract)
      718    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
       69    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/pyparsing.py:2371(__init__)
      188    0.000    0.000    0.000    0.000 /usr/lib/python3.6/_weakrefset.py:36(__init__)
      266    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_parse.py:342(_escape)
      675    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
      177    0.000    0.000    0.001    0.000 /usr/lib/python3.6/sre_parse.py:84(opengroup)
     1282    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.169    0.169 /usr/lib/python3.6/site-packages/networkx/algorithms/__init__.py:1(<module>)
     2150    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
     1459    0.000    0.000    0.000    0.000 {built-in method _sre.getlower}
        1    0.000    0.000    0.003    0.003 /usr/lib/python3.6/site-packages/numpy/ma/core.py:21(<module>)
      491    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:780(find_spec)
      213    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
      596    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_parse.py:81(groups)
      335    0.000    0.000    0.000    0.000 <string>:12(__new__)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/site-packages/six.py:1(<module>)
      392    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      116    0.000    0.000    0.031    0.000 /usr/lib/python3.6/sre_compile.py:542(_code)
       38    0.000    0.000    0.003    0.000 /usr/lib/python3.6/multiprocessing/queues.py:80(put)
      474    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
    32/12    0.000    0.000    0.001    0.000 /usr/lib/python3.6/abc.py:194(__subclasscheck__)
